epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.3844,1.1735,2.22283,1.4622,0.85715,0.79519,0.90357,0.61117,1.12865,1.82653,1.55422,0.000471319,0.000471319,0.000471319
2,45.4604,1.10014,1.35339,1.37433,0.75403,0.86726,0.91201,0.62457,1.06737,1.53075,1.57859,0.000885108,0.000885108,0.000885108
3,64.8013,1.09466,1.16238,1.369,0.69252,0.71825,0.74288,0.40169,1.50755,2.79211,1.99862,0.00123602,0.00123602,0.00123602
4,83.6925,1.06421,0.98185,1.33329,0.90859,0.89441,0.97375,0.66233,1.04869,1.0177,1.49274,0.00114606,0.00114606,0.00114606
5,102.566,1.07456,0.86188,1.33383,0.95842,0.97152,0.98851,0.71296,0.99197,0.69395,1.40937,0.00105174,0.00105174,0.00105174
6,122.472,0.89181,0.73328,1.32124,0.97853,0.97982,0.99297,0.75042,0.92115,0.54864,1.35189,0.00095743,0.00095743,0.00095743
7,142.352,0.84664,0.61483,1.30425,0.99892,0.97232,0.9946,0.7496,0.88977,0.48198,1.30785,0.000863116,0.000863116,0.000863116
8,161.724,0.82497,0.53766,1.27481,0.9989,0.99725,0.995,0.77929,0.8432,0.4261,1.29308,0.000768802,0.000768802,0.000768802
9,181.129,0.78796,0.49917,1.23929,0.99112,0.99177,0.99488,0.80857,0.7817,0.4148,1.22795,0.000674488,0.000674488,0.000674488
10,200.079,0.76292,0.45099,1.21589,0.99181,0.99078,0.99459,0.81205,0.75638,0.38321,1.19888,0.000580174,0.000580174,0.000580174
11,219.303,0.70387,0.40794,1.17342,0.99778,0.99691,0.995,0.83024,0.73634,0.35342,1.16815,0.00048586,0.00048586,0.00048586
12,238.302,0.6774,0.38337,1.14388,0.99387,0.99531,0.99498,0.84041,0.69532,0.33328,1.14407,0.000391546,0.000391546,0.000391546
13,257.484,0.64264,0.3583,1.12754,0.99911,0.9957,0.995,0.85108,0.67936,0.30974,1.12668,0.000297232,0.000297232,0.000297232
14,276.717,0.61184,0.33977,1.09733,0.99949,0.9964,0.995,0.86436,0.64962,0.30187,1.09476,0.000202918,0.000202918,0.000202918
15,295.699,0.58651,0.32302,1.07788,0.99744,0.9971,0.995,0.86665,0.62162,0.29145,1.07735,0.000108604,0.000108604,0.000108604
